Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,Pneumonia,991,0.9997,16.9,16.9,167,01-JUL-11,30-JUN-14
VIDANT MEDICAL CENTER,340040,NC,Hip_Knee_Surgery,944,1.2478,5.5,4.4,56,01-JUL-11,30-JUN-14
CALDWELL MEMORIAL HOSPITAL,340041,NC,Heart_Faliure,114,0.9644,21.1,21.9,22,01-JUL-11,30-JUN-14
NORTH CAROLINA BAPTIST HOSPITAL,340047,NC,Heart_Faliure,787,1.0427,24.0,23.0,191,01-JUL-11,30-JUN-14
SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,Heart_Faliure,831,1.1285,26.0,23.0,223,01-JUL-11,30-JUN-14
WATAUGA MEDICAL CENTER,340051,NC,Heart_Faliure,194,1.0126,22.3,22.0,44,01-JUL-11,30-JUN-14
NYU HOSPITALS CENTER,330214,NY,Hip_Knee_Surgery,1580,1.0153,5.5,5.4,87,01-JUL-11,30-JUN-14
"ROME MEMORIAL HOSPITAL, INC",330215,NY,Hip_Knee_Surgery,157,1.1,6.4,5.8,23,01-JUL-11,30-JUN-14
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,Acute_Myocardial_infarction,178,1.1378,21.9,19.3,46,01-JUL-11,30-JUN-14
JAMAICA HOSPITAL MEDICAL CENTER,330014,NY,Heart_Faliure,385,1.1932,24.8,20.8,106,01-JUL-11,30-JUN-14
RICHMOND UNIVERSITY MEDICAL CENTER,330028,NY,Hip_Knee_Surgery,157,1.0484,6.2,5.9,23,01-JUL-11,30-JUN-14
NEWARK-WAYNE COMMUNITY HOSPITAL,330030,NY,Heart_Faliure,145,1.1235,24.2,21.6,42,01-JUL-11,30-JUN-14
COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,Heart_Faliure,444,0.8377,18.7,22.4,73,01-JUL-11,30-JUN-14
CRAIG GENERAL HOSPITAL,370065,OK,Chronic_Obstructive_Pulmonary,121,1.0084,17.7,17.6,22,01-JUL-11,30-JUN-14
LATIMER COUNTY GENERAL HOSPITAL,370072,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PARK PLAZA HOSPITAL,450659,TX,Pneumonia,98,0.9956,16.6,16.7,16,01-JUL-11,30-JUN-14
ODESSA REGIONAL MEDICAL CENTER,450661,TX,Acute_Myocardial_infarction,185,0.9462,15.6,16.5,26,01-JUL-11,30-JUN-14
ODESSA REGIONAL MEDICAL CENTER,450661,TX,Heart_Faliure,176,0.9166,18.7,20.4,28,01-JUL-11,30-JUN-14
VALLEY REGIONAL MEDICAL CENTER,450662,TX,Hip_Knee_Surgery,157,0.9895,4.9,4.9,23,01-JUL-11,30-JUN-14
MEDICAL CENTER OF LEWISVILLE,450669,TX,Heart_Faliure,196,1.021,21.3,20.9,43,01-JUL-11,30-JUN-14
MEDICAL CENTER OF LEWISVILLE,450669,TX,Hip_Knee_Surgery,157,0.8959,4.0,4.5,23,01-JUL-11,30-JUN-14
TOMBALL REGIONAL MEDICAL CENTER,450670,TX,Acute_Myocardial_infarction,169,1.0071,18.7,18.6,32,01-JUL-11,30-JUN-14
PLAZA MEDICAL CENTER OF FORT WORTH,450672,TX,Hip_Knee_Surgery,1354,0.9613,4.4,4.6,59,01-JUL-11,30-JUN-14
ELKVIEW GENERAL HOSPITAL,370153,OK,Heart_Faliure,82,0.989,20.3,20.5,16,01-JUL-11,30-JUN-14
"WOMANS HOSPITAL OF TEXAS,THE",450674,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SKY LAKES MEDICAL CENTER,380050,OR,Pneumonia,237,0.9483,14.9,15.8,32,01-JUL-11,30-JUN-14
ADVENTIST MEDICAL CENTER,380060,OR,Acute_Myocardial_infarction,155,0.9178,13.0,14.2,16,01-JUL-11,30-JUN-14
ADVENTIST MEDICAL CENTER,380060,OR,Pneumonia,127,0.9755,16.2,16.7,19,01-JUL-11,30-JUN-14
TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,450677,TX,Heart_Faliure,473,0.944,21.6,22.9,99,01-JUL-11,30-JUN-14
DOCTORS HOSPITAL,450678,TX,Chronic_Obstructive_Pulmonary,269,0.9971,19.0,19.1,51,01-JUL-11,30-JUN-14
UNIVERSITY MEDICAL CENTER,450686,TX,Acute_Myocardial_infarction,202,1.0855,17.2,15.8,39,01-JUL-11,30-JUN-14
ST LUKE'S SUGAR LAND HOSPITAL,670053,TX,Chronic_Obstructive_Pulmonary,96,0.9979,19.9,20.0,19,01-JUL-11,30-JUN-14
SETON MEDICAL CENTER HAYS,670056,TX,Chronic_Obstructive_Pulmonary,182,0.9952,20.0,20.1,36,01-JUL-11,30-JUN-14
EMERUS HOSPITAL,670058,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SOUTH TEXAS SURGICAL HOSPITAL,670061,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,670067,TX,Hip_Knee_Surgery,524,1.0937,4.8,4.4,27,01-JUL-11,30-JUN-14
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,670071,TX,Acute_Myocardial_infarction,148,0.9251,14.1,15.3,17,01-JUL-11,30-JUN-14
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,670071,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
HOPEBRIDGE HOSPITAL,670072,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
HOPEBRIDGE HOSPITAL,670072,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST WEST HOUSTON HOSPITAL,670077,TX,Heart_Faliure,260,0.9873,22.2,22.5,57,01-JUL-11,30-JUN-14
WEST PALM HOSPITAL,100234,FL,Pneumonia,100,1.0284,19.1,18.6,21,01-JUL-11,30-JUN-14
VISTA MEDICAL CENTER EAST,140084,IL,Heart_Faliure,565,1.0364,23.3,22.5,134,01-JUL-11,30-JUN-14
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,IL,Hip_Knee_Surgery,343,1.091,5.4,4.9,20,01-JUL-11,30-JUN-14
GATEWAY REGIONAL MEDICAL CENTER,140125,IL,Pneumonia,169,1.1039,18.0,16.3,37,01-JUL-11,30-JUN-14
DELNOR COMMUNITY HOSPITAL,140211,IL,Chronic_Obstructive_Pulmonary,257,0.9822,18.8,19.1,47,01-JUL-11,30-JUN-14
SHERMAN HOSPITAL,140030,IL,Pneumonia,715,1.0207,18.3,17.9,132,01-JUL-11,30-JUN-14
PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL,370083,OK,Chronic_Obstructive_Pulmonary,71,0.9783,17.6,18.0,11,01-JUL-11,30-JUN-14
"SAINT FRANCIS HOSPITAL, INC",370091,OK,Heart_Faliure,1145,1.0602,22.3,21.1,259,01-JUL-11,30-JUN-14
"SAINT FRANCIS HOSPITAL, INC",370091,OK,Hip_Knee_Surgery,464,0.9978,5.4,5.4,25,01-JUL-11,30-JUN-14
O U MEDICAL CENTER,370093,OK,Pneumonia,280,1.0078,16.6,16.5,47,01-JUL-11,30-JUN-14
SOUTHWESTERN MEDICAL CENTER,370097,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SOUTHWESTERN MEDICAL CENTER,370097,OK,Chronic_Obstructive_Pulmonary,93,1.0779,20.3,18.8,24,01-JUL-11,30-JUN-14
CHOCTAW MEMORIAL HOSPITAL,370100,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CHOCTAW MEMORIAL HOSPITAL,370100,OK,Chronic_Obstructive_Pulmonary,212,0.9654,19.6,20.3,39,01-JUL-11,30-JUN-14
CHOCTAW MEMORIAL HOSPITAL,370100,OK,Pneumonia,110,1.1241,20.1,17.9,30,01-JUL-11,30-JUN-14
INTEGRIS SOUTHWEST MEDICAL CENTER,370106,OK,Acute_Myocardial_infarction,199,0.9175,14.7,16.1,25,01-JUL-11,30-JUN-14
SEQUOYAH COUNTY-CITY OF SALLISAW HOSPITAL AUTHORIT,370112,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
RIO GRANDE REGIONAL HOSPITAL,450711,TX,Heart_Faliure,676,1.0417,25.5,24.5,175,01-JUL-11,30-JUN-14
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,450713,TX,Heart_Faliure,768,1.0474,22.6,21.5,176,01-JUL-11,30-JUN-14
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,450713,TX,Pneumonia,499,1.0918,18.1,16.6,96,01-JUL-11,30-JUN-14
ROUND ROCK MEDICAL CENTER,450718,TX,Acute_Myocardial_infarction,160,0.923,13.8,14.9,18,01-JUL-11,30-JUN-14
ROUND ROCK MEDICAL CENTER,450718,TX,Heart_Faliure,266,0.9117,20.1,22.0,48,01-JUL-11,30-JUN-14
METHODIST CHARLTON MEDICAL CENTER,450723,TX,Heart_Faliure,526,0.88,19.3,21.9,94,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,450743,TX,Hip_Knee_Surgery,157,1.0494,5.7,5.4,23,01-JUL-11,30-JUN-14
PALESTINE REGIONAL MEDICAL CENTER,450747,TX,Chronic_Obstructive_Pulmonary,216,1.0159,19.9,19.6,44,01-JUL-11,30-JUN-14
EAST TEXAS MEDICAL CENTER TRINITY,450749,TX,Heart_Faliure,80,1.055,22.3,21.2,21,01-JUL-11,30-JUN-14
HAMILTON GENERAL HOSPITAL,450754,TX,Heart_Faliure,170,1.066,20.2,19.0,38,01-JUL-11,30-JUN-14
COVENANT HOSPITAL LEVELLAND,450755,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,450771,TX,Acute_Myocardial_infarction,149,0.9717,15.8,16.2,22,01-JUL-11,30-JUN-14
KINGWOOD MEDICAL CENTER,450775,TX,Hip_Knee_Surgery,157,1.0346,5.9,5.7,23,01-JUL-11,30-JUN-14
"LAKEWAY REGIONAL MEDICAL CENTER, LLC",670079,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,670082,TX,Acute_Myocardial_infarction,157,1.0197,14.3,14.1,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,670082,TX,Heart_Faliure,126,1.1665,23.8,20.4,39,01-JUL-11,30-JUN-14
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,670085,TX,Heart_Faliure,157,0.9566,19.0,19.8,23,01-JUL-11,30-JUN-14
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,670085,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,670088,TX,Pneumonia,157,0.989,15.7,15.9,23,01-JUL-11,30-JUN-14
NIX COMMUNITY GENERAL HOSPITAL,670089,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NIX COMMUNITY GENERAL HOSPITAL,670089,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
WALNUT HILL MEDICAL CENTER,670092,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EMERUS COMMUNITY HOSPITAL,670095,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EMERUS COMMUNITY HOSPITAL,670095,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"BAY AREA REGIONAL MEDICAL CENTER, LLC",670096,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR EMERGENCY MEDICAL CENTER,670097,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
J C BLAIR MEMORIAL HOSPITAL,390056,PA,Heart_Faliure,172,0.9776,21.1,21.6,35,01-JUL-11,30-JUN-14
GRAND VIEW HOSPITAL,390057,PA,Heart_Faliure,411,0.9326,19.2,20.6,75,01-JUL-11,30-JUN-14
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,Pneumonia,212,1.0552,16.3,15.4,38,01-JUL-11,30-JUN-14
NASON HOSPITAL,390062,PA,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
GETTYSBURG HOSPITAL,390065,PA,Chronic_Obstructive_Pulmonary,166,1.0592,21.6,20.4,40,01-JUL-11,30-JUN-14
GETTYSBURG HOSPITAL,390065,PA,Pneumonia,317,0.9765,15.9,16.3,49,01-JUL-11,30-JUN-14
PINNACLE HEALTH HOSPITALS,390067,PA,Pneumonia,537,1.004,16.2,16.1,87,01-JUL-11,30-JUN-14
HEART OF LANCASTER REGIONAL MEDICAL CENTER,390068,PA,Chronic_Obstructive_Pulmonary,75,1.0009,18.6,18.6,14,01-JUL-11,30-JUN-14
LOCK HAVEN HOSPITAL,390071,PA,Pneumonia,78,0.9852,15.3,15.6,11,01-JUL-11,30-JUN-14
UPMC ALTOONA,390073,PA,Acute_Myocardial_infarction,505,0.9746,17.7,18.2,88,01-JUL-11,30-JUN-14
UPMC ALTOONA,390073,PA,Heart_Faliure,642,0.8483,19.1,22.5,113,01-JUL-11,30-JUN-14
SUNBURY COMMUNITY HOSPITAL,390084,PA,Chronic_Obstructive_Pulmonary,126,0.989,18.9,19.1,23,01-JUL-11,30-JUN-14
CHOCTAW NATION HEALTH SERVICES AUTHORITY,370172,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL,370178,OK,Heart_Faliure,66,1.0379,23.9,23.0,18,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL,370178,OK,Pneumonia,96,1.0014,16.6,16.6,16,01-JUL-11,30-JUN-14
CHICKASAW NATION MEDICAL CENTER,370180,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC",370190,OK,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHWEST SURGICAL HOSPITAL,370192,OK,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHWEST SURGICAL HOSPITAL,370192,OK,Hip_Knee_Surgery,157,0.879,3.4,3.9,23,01-JUL-11,30-JUN-14
HILLCREST HOSPITAL SOUTH,370202,OK,Acute_Myocardial_infarction,193,0.9429,15.0,15.9,26,01-JUL-11,30-JUN-14
HILLCREST HOSPITAL SOUTH,370202,OK,Heart_Faliure,216,0.964,20.9,21.7,43,01-JUL-11,30-JUN-14
"COMMUNITY HOSPITAL, LLC",370203,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"COMMUNITY HOSPITAL, LLC",370203,OK,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,370212,OK,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"CORPUS CHRISTI MEDICAL CENTER,THE",450788,TX,Acute_Myocardial_infarction,244,1.0923,18.2,16.7,49,01-JUL-11,30-JUN-14
HOUSTON HOSPITAL FOR SPECIALIZED SURGERY,450797,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CHRISTUS ST MICHAEL HEALTH SYSTEM,450801,TX,Acute_Myocardial_infarction,448,1.0681,16.2,15.2,76,01-JUL-11,30-JUN-14
CHRISTUS ST MICHAEL HEALTH SYSTEM,450801,TX,Heart_Faliure,796,0.9284,20.5,22.1,159,01-JUL-11,30-JUN-14
LAS COLINAS MEDICAL CENTER,450822,TX,Chronic_Obstructive_Pulmonary,51,1.0355,18.9,18.2,12,01-JUL-11,30-JUN-14
LAS COLINAS MEDICAL CENTER,450822,TX,Heart_Faliure,108,0.9943,20.7,20.8,22,01-JUL-11,30-JUN-14
CORNERSTONE REGIONAL HOSPITAL,450825,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON,450831,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,450840,TX,Heart_Faliure,117,1.0283,21.7,21.1,27,01-JUL-11,30-JUN-14
METHODIST WILLOWBROOK HOSPITAL,450844,TX,Acute_Myocardial_infarction,273,1.0159,19.5,19.2,54,01-JUL-11,30-JUN-14
HIGHLANDS MEDICAL CENTER,10061,AL,Hip_Knee_Surgery,157,1.0614,5.9,5.5,23,01-JUL-11,30-JUN-14
THOMAS HOSPITAL,10100,AL,Pneumonia,240,0.9444,14.9,15.7,32,01-JUL-11,30-JUN-14
MAYO CLINIC HOSPITAL,30103,AZ,Hip_Knee_Surgery,1050,0.9537,4.5,4.7,46,01-JUL-11,30-JUN-14
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",30108,AZ,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,30136,AZ,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,50070,CA,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
WESTERN PENNSYLVANIA HOSPITAL,390090,PA,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST JOSEPH MEDICAL CENTER,390096,PA,Hip_Knee_Surgery,157,0.9328,6.4,6.9,23,01-JUL-11,30-JUN-14
KANE COMMUNITY HOSPITAL,390104,PA,Heart_Faliure,161,0.9271,20.1,21.7,28,01-JUL-11,30-JUN-14
UPMC PASSAVANT,390107,PA,Acute_Myocardial_infarction,265,1.0243,17.3,16.9,47,01-JUL-11,30-JUN-14
UPMC PASSAVANT,390107,PA,Pneumonia,353,1.1194,18.6,16.6,73,01-JUL-11,30-JUN-14
MEMORIAL MEDICAL CENTER,390110,PA,Hip_Knee_Surgery,258,1.0229,4.9,4.8,13,01-JUL-11,30-JUN-14
WINDBER HOSPITAL,390112,PA,Chronic_Obstructive_Pulmonary,157,0.9845,18.6,18.9,23,01-JUL-11,30-JUN-14
MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,390114,PA,Heart_Faliure,68,1.0408,24.4,23.4,19,01-JUL-11,30-JUN-14
ARIA HEALTH,390115,PA,Chronic_Obstructive_Pulmonary,620,0.98,19.9,20.3,122,01-JUL-11,30-JUN-14
BRADFORD REGIONAL MEDICAL CENTER,390118,PA,Chronic_Obstructive_Pulmonary,187,0.9844,19.3,19.6,35,01-JUL-11,30-JUN-14
LINDSAY MUNICIPAL HOSPITAL,370214,OK,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
OKLAHOMA HEART HOSPITAL,370215,OK,Pneumonia,317,0.9808,19.0,19.4,59,01-JUL-11,30-JUN-14
"TULSA SPINE & SPECIALTY HOSPITAL, LLC",370216,OK,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ONECORE HEALTH,370220,OK,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ONECORE HEALTH,370220,OK,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PINNACLE SPECIALTY HOSPITAL,370233,OK,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PINNACLE SPECIALTY HOSPITAL,370233,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"ST JOHN BROKEN ARROW, INC",370235,OK,Hip_Knee_Surgery,918,1.1473,4.9,4.2,47,01-JUL-11,30-JUN-14
OHSU HOSPITAL AND CLINICS,380009,OR,Chronic_Obstructive_Pulmonary,92,0.9414,21.0,22.3,15,01-JUL-11,30-JUN-14
BAYLOR HEART AND VASCULAR HOSPITAL,450851,TX,Heart_Faliure,158,0.8896,18.1,20.3,22,01-JUL-11,30-JUN-14
BAYLOR MEDICAL CENTER AT FRISCO,450853,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SUGAR LAND SURGICAL HOSPITAL LLP,450860,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS SPINE AND JOINT HOSPITAL,450864,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SETON SOUTHWEST HOSPITAL,450865,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SETON NORTHWEST HOSPITAL,450867,TX,Pneumonia,158,1.0864,16.8,15.5,32,01-JUL-11,30-JUN-14
ARISE AUSTIN MEDICAL CENTER,450871,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ARISE AUSTIN MEDICAL CENTER,450871,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
USMD HOSPITAL AT ARLINGTON L P,450872,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,450874,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,450880,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,450880,TX,Hip_Knee_Surgery,256,1.1894,5.0,4.2,16,01-JUL-11,30-JUN-14
BAYLOR MEDICAL CENTER AT TROPHY CLUB,450883,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
UNIVERSITY OF VERMONT MEDICAL CENTER,470003,VT,Pneumonia,506,1.0134,16.4,16.2,84,01-JUL-11,30-JUN-14
BRATTLEBORO MEMORIAL HOSPITAL,470011,VT,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BRATTLEBORO MEMORIAL HOSPITAL,470011,VT,Heart_Faliure,81,0.9412,17.7,18.8,11,01-JUL-11,30-JUN-14
WINCHESTER MEDICAL CENTER,490005,VA,Heart_Faliure,1424,1.0213,21.5,21.0,307,01-JUL-11,30-JUN-14
UNIVERSITY OF VIRGINIA MEDICAL CENTER,490009,VA,Hip_Knee_Surgery,648,1.1448,5.5,4.8,38,01-JUL-11,30-JUN-14
BON SECOURS DEPAUL MEDICAL CENTER,490011,VA,Heart_Faliure,309,1.0382,22.9,22.1,73,01-JUL-11,30-JUN-14
AUGUSTA HEALTH,490018,VA,Pneumonia,541,0.9429,15.7,16.6,81,01-JUL-11,30-JUN-14
CULPEPER COMMUNITY HOSPITAL,490019,VA,Pneumonia,204,1.0562,17.3,16.4,39,01-JUL-11,30-JUN-14
JOHN RANDOLPH MEDICAL CENTER,490020,VA,Chronic_Obstructive_Pulmonary,388,1.0349,19.5,18.8,78,01-JUL-11,30-JUN-14
"CENTRA  HEALTH, INC",490021,VA,Acute_Myocardial_infarction,889,1.1462,18.0,15.7,167,01-JUL-11,30-JUN-14
MOSES TAYLOR HOSPITAL,390119,PA,Chronic_Obstructive_Pulmonary,273,0.9449,18.3,19.3,46,01-JUL-11,30-JUN-14
PHOENIXVILLE HOSPITAL,390127,PA,Chronic_Obstructive_Pulmonary,205,0.9773,18.8,19.3,37,01-JUL-11,30-JUN-14
WAYNESBORO HOSPITAL,390138,PA,Heart_Faliure,213,0.9522,21.1,22.1,42,01-JUL-11,30-JUN-14
MAIN LINE HOSPITAL BRYN MAWR CAMPUS,390139,PA,Chronic_Obstructive_Pulmonary,425,1.0113,21.9,21.7,94,01-JUL-11,30-JUN-14
ALBERT EINSTEIN MEDICAL CENTER,390142,PA,Pneumonia,139,1.0239,16.2,15.8,24,01-JUL-11,30-JUN-14
EXCELA HEALTH WESTMORELAND HOSPITAL,390145,PA,Chronic_Obstructive_Pulmonary,311,0.9946,18.1,18.2,56,01-JUL-11,30-JUN-14
EXCELA HEALTH WESTMORELAND HOSPITAL,390145,PA,Hip_Knee_Surgery,157,0.9223,4.3,4.7,23,01-JUL-11,30-JUN-14
WARREN GENERAL HOSPITAL,390146,PA,Hip_Knee_Surgery,157,1.0047,5.3,5.3,23,01-JUL-11,30-JUN-14
WASHINGTON HEALTH SYSTEM GREENE,390150,PA,Heart_Faliure,112,0.9264,20.0,21.6,18,01-JUL-11,30-JUN-14
CHI HEALTH LAKESIDE,280130,NE,Heart_Faliure,240,0.9022,19.5,21.7,41,01-JUL-11,30-JUN-14
INTEGRIS BAPTIST MEDICAL CENTER,370028,OK,Heart_Faliure,627,0.8861,19.1,21.6,113,01-JUL-11,30-JUN-14
INTEGRIS BAPTIST MEDICAL CENTER,370028,OK,Pneumonia,687,0.8785,15.8,18.0,100,01-JUL-11,30-JUN-14
HARMON MEMORIAL HOSPITAL,370036,OK,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BRISTOW MEDICAL CENTER,370041,OK,Pneumonia,70,1.1149,15.8,14.2,18,01-JUL-11,30-JUN-14
MCCURTAIN MEMORIAL HOSPITAL,370048,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
GOOD SAMARITAN REGIONAL MEDICAL CENTER,380014,OR,Heart_Faliure,229,0.825,17.4,21.1,29,01-JUL-11,30-JUN-14
LEGACY GOOD SAMARITAN MEDICAL CENTER,380017,OR,Heart_Faliure,268,1.0675,22.1,20.7,63,01-JUL-11,30-JUN-14
TUALITY COMMUNITY HOSPITAL,380021,OR,Hip_Knee_Surgery,157,0.9686,5.0,5.1,23,01-JUL-11,30-JUN-14
SAMARITAN ALBANY GENERAL HOSPITAL,380022,OR,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SAMARITAN ALBANY GENERAL HOSPITAL,380022,OR,Heart_Faliure,121,0.8957,18.4,20.5,16,01-JUL-11,30-JUN-14
LEGACY MOUNT HOOD MEDICAL CENTER,380025,OR,Heart_Faliure,154,1.035,22.1,21.3,36,01-JUL-11,30-JUN-14
LEGACY MOUNT HOOD MEDICAL CENTER,380025,OR,Hip_Knee_Surgery,157,1.0087,4.5,4.5,23,01-JUL-11,30-JUN-14
MERCY MEDICAL CENTER,380027,OR,Pneumonia,342,0.991,17.1,17.3,58,01-JUL-11,30-JUN-14
SILVERTON HOSPITAL,380029,OR,Pneumonia,157,0.9216,14.8,16.0,23,01-JUL-11,30-JUN-14
